"UNLOCODE","NOMLOCALITAT","ISOPAIS","NOMPAIS","AREGEOGRAFICA","NOMAREAGEOGRAFICA"
"AUBNY","Blayney                            ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBOO","Booby Island                       ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBOV","Blacktip Terminal                  ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBOY","Boyer                              ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBRT","Bathurst Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBTB","Botany Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBUC","Burketown","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBUL","Bulli                              ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBUS","Busselton","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBUV","Buffalo Venture                    ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBUY","Bunbury","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBWB","Barrow Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBWI","Bulwer                             ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBWT","Burnie","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUBYP","Beauty Point","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCAL","Caloundra Head","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCBA","Corio Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCBR","Canberra","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCCU","Cape Cuvier","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCFS","Coffs Harbour","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCHA","Chatswood","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCHB","Catherine Hill Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCHV","Challis Venture (oil terminal)","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCLL","Collan Islands","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCLN","Cape Leeuwin","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCLR","Clarence River","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCLT","Cape Lambert","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCNS","Cairns","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCOO","Coomera                            ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCOP","Cossack Pioneer (oil terminal)","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCPN","Cape Preston","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCQP","Cape Flattery","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCRS","Coral Sea                          ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCTH","Thevenard Island                   ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCTI","Cockatoo I.                        ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCTN","Cooktown","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCVN","Cleveland","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUCVQ","Carnarvon","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUDAA","Darra","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUDAM","Dampier","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUDIT","Dalrymple Islet                    ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUDLP","Arndell Park                       ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUDPO","Devonport","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUDRB","Derby","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUDRW","Darwin","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUDSW","Padstow","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUEDB","Edithburgh","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUELE","Electrona","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUEPR","Esperance","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUEXM","Exmouth Gulf","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUFIS","Fisherman Islands","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUFRE","Fremantle","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGBT","Garbutt Station                    ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGEE","George Town","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGET","Geraldton","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGEX","Geelong","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGLL","Glebe Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGLT","Gladstone","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGOI","Goode Is","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGOV","Gove","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGRH","Greenhead","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGRV","Griffin Venture (oil terminal)","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGTE","Groote Eylandt","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUGUR","The Gurdies                        ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUHAS","Hastings","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUHBA","Hobart","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUHNK","Hinchinbrook Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUHOT","Hope Tun","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUHPT","Haypoint","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUHYI","Hardy Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUIPS","Ipswich","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUJFM","Fremantle","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUJML","Laurieton                          ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
