"UNLOCODE","NOMLOCALITAT","ISOPAIS","NOMPAIS","AREGEOGRAFICA","NOMAREAGEOGRAFICA"
"AUJOV","Jabiru Venture (oil terminal)","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUKGC","Kingscote","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUKIB","King Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUKIT","Kingston","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUKLP","Klein Point","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUKOI","Koolan Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUKRB","Karumba","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUKTR","Katherine","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUKUR","Kurnell","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUKWI","Kwinana","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AULAB","Lady Barron","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AULDH","Lord Howe Is","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AULGT","Legendre Terminal                  ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AULME","Bangholme                          ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AULOW","Lisarow","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AULST","Launceston","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AULUC","Lucinda","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AULYD","Lilydale                           ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMAR","Marrickville                       ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMBH","Maryborough","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMBY","Maribyrnong                        ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMDC","Mordialloc                         ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMEL","Melbourne","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMIB","Milner Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMIL","Milperra                           ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMKY","Mackay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMLI","Melville Island                    ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMOK","Moorook                            ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMON","Montara Field                      ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMOU","Mourilyan","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMOW","Mowbray Heights                    ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMQI","Macquarie Island                   ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMRS","Melrose","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMWA","Mulwala                            ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUMWF","Mcgaw Wharf","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUNGH","Nganhurra                          ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUNHU","Nhulunbuy                          ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUNTE","Northern Endeavour                 ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUNTL","Newcastle","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUOKH","Okha FPSO                          ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUONS","Onslow","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUOSB","Osborne Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPAE","Port Adelaide","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPAG","Paddington                         ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPAU","Port Arthur","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPBT","Port Botany","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPBY","Port Bonython","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPCT","Port Curtis","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPDI","Port Denison                       ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPEL","Pelican Point","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPEN","Pendle Hills                       ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPER","Perth","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPEX","Exmouth","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPGI","Port Giles","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPHE","Port Hedland","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPHP","Point Henry Pier/Melbourne         ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPHU","Port Huon","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPIC","Picton","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPJK","Port Jackson","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPKL","Port Kembla","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPKY","Pt Kenny                           ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPLA","Port Latta","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPLO","Port Lincoln","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPMK","Palm Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPOR","Port Melbourne                     ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPPI","Port Pirie","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPQQ","Port Macquarie","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPRB","Proper Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPRC","Price","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPSM","Point Samson","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPST","Port Stanvac","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPSY","Port Stanley","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPTD","Port Dalrymple","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPTI","Port Douglas","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPTJ","Portland","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPTL","Port Alma","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPUG","Port Augusta","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPWI","Point Wilson","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPWL","Port Walcott","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUPWR","Port Warrender","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUQDN","Eden","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AURAB","Rapid Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AURBU","Roebourne","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AURCM","Richmond","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AURDN","Risdon","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AURDS","Rhodes","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUREV","Revesby                            ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUROK","Rockhampton","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AURTS","Rottnest Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AURYP","Rocky Point","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSCY","Scoresby                           ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSHB","Shark Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSKA","Skardon River                      ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSKV","Skua Venture (oil terminal)","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSKY","Skye                               ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSMR","Seventeen Mile Rocks/Brisbane      ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSMT","Saladin Marine Terminal","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSOL","Shea Oak Log                       ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSPB","Spring Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSPO","Spreyton                           ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSRN","Strahan","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSSH","Sellicks Hill                      ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSTA","Stanley","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSTG","Stag Platform                      ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSTR","South Trees                        ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSUH","Surry Hills                        ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSWR","South West Rocks","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUSYD","Sydney","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUTHE","Thevenard","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUTHS","Tweed Heads South                  ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUTIS","Thursday Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUTOB","Towford Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUTOL","Toombul                            ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUTOR","Toronto","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUTRB","Trial Bay","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUTRD","Tooradin                           ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUTSV","Townsville","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUULA","Ulladulla","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUULT","Ultimo                             ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUURN","Urangan","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUUSL","Useless Loop","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUVAR","Varanus Island","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUVGH","Van Gogh Terminal                  ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUVIB","Boronia                            ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUVIT","Wishart                            ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWAL","Wallaroo","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWAY","Myaree                             ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWAZ","Warwick","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWBT","Woollybutt (Oil facility)          ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWDK","Webb Dock","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWEI","Weipa","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWEP","Westernport","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWHL","Welshpool","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWLY","Mount Waverley                     ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWMB","Warrnambool","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWNB","Withnell Bay                       ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWNT","Wandoo Terminal                    ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWOO","Woomera","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWOT","Wonthaggi","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWRB","Werribee                           ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWSI","Whitsunday I.                      ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWSN","Warners Bay                        ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWTN","Webberton                          ","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWYA","Whyalla","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUWYN","Wyndham","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUYAM","Yampi","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUYBA","Yamba","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AUZBO","Bowen","AU","Australia","09","Australia, New Zealand/Pacific Islands"
"AWAUA","Aruba","AW","Aruba","17","Central America and Caribbean"
"AWBAR","Barcadera","AW","Aruba","17","Central America and Caribbean"
"AWBUS","Bushiribana","AW","Aruba","17","Central America and Caribbean"
"AWDEU","Druif","AW","Aruba","17","Central America and Caribbean"
"AWORJ","Oranjestad","AW","Aruba","17","Central America and Caribbean"
"AWSNL","Sint Nicolaas","AW","Aruba","17","Central America and Caribbean"
"AZBAK","Baku","AZ","Azerbaijan","03","Eastern Mediterranean/Black Sea/Caspian Sea/Middel East"
"AZKMZ","Khachmaz                           ","AZ","Azerbaijan","03","Eastern Mediterranean/Black Sea/Caspian Sea/Middel East"
"AZMHL","Makhachkala","AZ","Azerbaijan","03","Eastern Mediterranean/Black Sea/Caspian Sea/Middel East"
"AZQDG","Qaradag                            ","AZ","Azerbaijan","03","Eastern Mediterranean/Black Sea/Caspian Sea/Middel East"
"AZSUM","Sumgait","AZ","Azerbaijan","03","Eastern Mediterranean/Black Sea/Caspian Sea/Middel East"
"BABIR","Biracevac                          ","BA","Bosnia and Herzegovina","ZZ","Unknown area (Tare of empty containers)"
"BAMAG","Maglaj                             ","BA","Bosnia and Herzegovina","ZZ","Unknown area (Tare of empty containers)"
"BAZNK","Zvornik                            ","BA","Bosnia and Herzegovina","ZZ","Unknown area (Tare of empty containers)"
"BBBGI","Bridgetown","BB","Barbados","17","Central America and Caribbean"
"BBSTM","St Michael                         ","BB","Barbados","17","Central America and Caribbean"
"BDBNP","Benapole                           ","BD","Bangladesh","06","Pakistan/India/Sri Lanka/Bangladesh"
